connectivity_metric,label_a,label_b,subject_a,subject_b,session_a,session_b,state_a,state_b,pair_class,pair_label,same_subject,comparison_metric,comparison_kind,higher_is_more_similar,raw_score,oriented_score
mutual_information_ksg,sub-pd004_ses-1,sub-pd004_ses-2,sub-pd004,sub-pd004,1,2,off,on,between_condition,off-on,True,laplacian_spectral_distance_signed,graph_distance,False,0.13275665929261313,-0.13275665929261313
mutual_information_ksg,sub-pd004_ses-1,sub-pd007_ses-1,sub-pd004,sub-pd007,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.14885819846661866,-0.14885819846661866
mutual_information_ksg,sub-pd004_ses-1,sub-pd007_ses-2,sub-pd004,sub-pd007,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.2087026470310926,-0.2087026470310926
mutual_information_ksg,sub-pd004_ses-1,sub-pd009_ses-1,sub-pd004,sub-pd009,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.2270471324370293,-0.2270471324370293
mutual_information_ksg,sub-pd004_ses-1,sub-pd009_ses-2,sub-pd004,sub-pd009,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.20834069670491143,-0.20834069670491143
mutual_information_ksg,sub-pd004_ses-1,sub-pd010_ses-1,sub-pd004,sub-pd010,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.20280745717310703,-0.20280745717310703
mutual_information_ksg,sub-pd004_ses-1,sub-pd010_ses-2,sub-pd004,sub-pd010,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.19007429274373036,-0.19007429274373036
mutual_information_ksg,sub-pd004_ses-1,sub-pd011_ses-1,sub-pd004,sub-pd011,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.19821615310164126,-0.19821615310164126
mutual_information_ksg,sub-pd004_ses-1,sub-pd011_ses-2,sub-pd004,sub-pd011,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.2658373937227906,-0.2658373937227906
mutual_information_ksg,sub-pd004_ses-1,sub-pd012_ses-1,sub-pd004,sub-pd012,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.17551651051242448,-0.17551651051242448
mutual_information_ksg,sub-pd004_ses-1,sub-pd012_ses-2,sub-pd004,sub-pd012,1,2,off,on,between_condition,off-on,False,laplacian_spectral_distance_signed,graph_distance,False,0.2359113631757915,-0.2359113631757915
mutual_information_ksg,sub-pd004_ses-1,sub-pd013_ses-1,sub-pd004,sub-pd013,1,1,off,off,within_condition,off-off,False,laplacian_spectral_distance_signed,graph_distance,False,0.22672873505495247,-0.22672873505495247
